timestamp,marigold_seed,rosemary_seed,nasturtium_seed,woad_seed,limpwurt_seed,redberry_seed,cadavaberry_seed,dwellberry_seed,jangerberry_seed,whiteberry_seed,poison_ivy_seed,cactus_seed,belladonna_seed,mushroom_spore,apple_tree_seed,banana_tree_seed,orange_tree_seed,curry_tree_seed,pineapple_seed,papaya_tree_seed,palm_tree_seed,calquat_tree_seed,guam_seed,marrentill_seed,tarromin_seed,harralander_seed,ranarr_seed,toadflax_seed,irit_seed,avantoe_seed,kwuarm_seed,snapdragon_seed,cadantine_seed,lantadyme_seed,dwarf_weed_seed,torstol_seed,barley_seed,jute_seed,hammerstone_seed,asgarnian_seed,yanillian_seed,krandorian_seed,wildblood_seed,acorn,willow_seed,maple_seed,yew_seed,magic_seed,potato_seed,onion_seed,sweetcorn_seed,watermelon_seed,tomato_seed,strawberry_seed,cabbage_seed
1619553600,1,1,1,,24,2,2,,3,31,25,44,79,83,2,4,4,7,147,909,23755,290,6,7,11,30,44009,1202,38,512,167,57990,693,550,176,49363,4,3,3,4,6,6,134,28,835,18735,50828,122290,1,1,5,35,1,4,1
1619640000,2,1,1,,23,2,2,9,13,24,38,150,83,370,4,36,4,5,55,886,23795,196,10,5,19,39,44714,1191,34,489,155,59074,479,443,180,51788,3,3,12,4,5,,133,28,865,19826,50205,119403,1,1,3,12,3,3,1
1619726400,1,1,1,6,20,5,10,9,26,4,37,70,76,182,3,30,3,6,61,945,23830,191,9,6,10,17,45727,1126,23,429,161,59263,561,750,182,54915,4,4,4,4,7,6,144,34,705,19000,50060,117284,1,1,2,11,1,13,1
1619823600,1,1,1,5,17,4,5,3,1,4,43,146,11,130,3,29,1,9,,905,23544,200,10,3,10,32,45292,1161,37,469,127,57905,453,502,260,53207,3,8,2,3,5,6,142,29,947,18069,50056,119001,1,1,3,15,5,1,1
1619899200,1,1,1,4,16,,30,3,2,18,43,150,240,272,4,50,4,4,75,767,22735,170,9,,5,10,44932,1059,41,399,117,56443,426,496,171,52755,3,3,15,3,2,6,126,28,972,18323,49939,118050,1,1,2,31,8,2,1
1619989200,2,1,2,6,34,2,,,3,2,9,37,108,143,3,3,1,4,118,732,22436,177,8,6,9,25,44916,1078,37,411,1,56043,420,488,159,52280,10,3,15,5,1,8,131,28,910,19260,49562,119806,1,1,5,15,2,5,2
1620072000,1,1,1,3,19,1,2,3,22,3,10,66,77,56,3,,4,2,,636,23534,67,9,4,8,19,44628,1048,35,432,135,55878,615,450,164,51828,15,2,3,9,5,6,129,34,1085,18589,50404,117172,1,1,1,11,1,2,1
1620158400,1,34,1,1,21,2,3,3,9,34,39,,69,198,3,9,4,4,141,596,23993,76,5,7,11,35,44198,940,100,400,126,55933,385,373,152,50930,4,3,3,4,4,,120,28,1081,19418,50841,111888,1,1,1,12,8,8,2
1620244800,2,1,1,5,6,15,2,9,,1,14,8,158,290,3,3,50,4,79,523,23970,165,6,7,11,36,43805,995,22,390,115,55652,409,118,129,49988,4,3,3,3,10,15,110,30,985,18745,52384,111084,1,1,3,15,2,8,2
1620331200,1,1,1,,40,2,2,3,3,3,13,80,70,111,2,1,3,2,79,680,24600,74,5,5,10,21,42766,931,74,350,71,55525,346,245,91,52156,4,9,3,3,8,13,105,31,998,19588,50817,111948,1,1,3,12,1,4,1
1620417600,10,1,1,2,38,12,2,3,3,16,39,148,87,240,2,3,4,2,157,521,24192,70,5,5,15,30,40634,878,32,313,66,54219,305,279,81,50580,3,4,2,4,6,6,95,54,865,19588,48740,110172,1,1,6,22,2,6,1
1620504000,4,1,1,4,19,2,3,4,1,1,21,3,89,196,2,1,3,2,75,211,22477,56,2,3,2,26,39927,894,,297,73,52468,279,285,27,48634,3,4,3,3,10,6,97,25,885,18428,48940,109035,1,1,6,8,2,2,1
1620590400,2,2,1,,18,,5,5,12,30,41,150,179,399,2,3,3,4,50,357,22823,65,4,4,11,22,38385,700,37,312,72,52346,351,340,42,48029,3,3,2,2,4,5,79,25,858,18393,47189,107842,1,1,7,7,3,1,1
1620676800,1,2,3,,17,,14,6,3,5,30,71,58,397,3,10,4,4,43,476,23076,60,4,1,5,19,36935,813,38,180,54,52395,294,298,57,47713,2,2,3,3,5,4,72,25,779,18468,49133,107958,1,1,4,6,1,1,2
